Region,date,Beans,Rice
Katavi,2025-06-25,2700.0,2000.0
Katavi,2025-08-20,2700.0,1900.0
Katavi,2025-08-27,2500.0,2100.0
Katavi,2025-09-03,2600.0,2100.0
Katavi,2025-09-10,2600.0,2200.0
Katavi,2025-09-17,2200.0,2200.0
Katavi,2025-09-24,2300.0,2200.0
Katavi,2025-11-12,2600.0,2400.0
Katavi,2026-02-11,2200.0,2500.0
Katavi,2026-03-11,2500.0,2500.0
Katavi,2026-05-06,2000.0,2200.0
Kigoma,2024-08-21,,1400.0
Kigoma,2025-01-22,2000.0,1600.0
Kigoma,2025-02-19,2400.0,1400.0
Kigoma,2025-03-26,2700.0,2400.0
Kigoma,2025-04-09,2500.0,2400.0
Kigoma,2025-04-16,2600.0,2500.0
Kigoma,2025-04-23,2600.0,2300.0
Kigoma,2025-05-07,2800.0,2600.0
Kigoma,2025-05-14,2800.0,2600.0
Kigoma,2025-06-04,2300.0,2100.0
Kigoma,2025-06-11,2300.0,2100.0
Kigoma,2025-07-09,2100.0,2100.0
Kigoma,2025-08-27,1900.0,2200.0
Kigoma,2025-09-03,2000.0,2200.0
Kigoma,2025-09-10,2000.0,2300.0
Kigoma,2025-09-17,1800.0,2300.0
Kigoma,2025-09-24,1900.0,2400.0
Kigoma,2025-10-15,1700.0,2300.0
Kigoma,2025-10-22,1800.0,2300.0
Kigoma,2025-11-12,1900.0,2500.0
Kigoma,2025-11-26,1900.0,2400.0
Kigoma,2025-12-17,2000.0,2500.0
Kigoma,2026-02-11,1700.0,2800.0
Kigoma,2026-02-18,1700.0,2800.0
Kigoma,2026-02-25,1700.0,2800.0
Kigoma,2026-03-04,1600.0,2600.0
Kigoma,2026-03-11,1500.0,2600.0
Kigoma,2026-03-18,1600.0,2600.0
Kigoma,2026-03-25,1400.0,2600.0
Kigoma,2026-04-08,1700.0,2700.0
Kigoma,2026-04-15,1700.0,2700.0
Kigoma,2026-04-22,1800.0,2700.0
Kigoma,2026-05-06,1900.0,2500.0
Kilimanjaro,2024-12-18,2700.0,1700.0
Kilimanjaro,2025-02-12,2800.0,1600.0
Kilimanjaro,2025-02-19,2800.0,1800.0
Kilimanjaro,2025-03-05,2800.0,2100.0
Kilimanjaro,2025-03-12,2800.0,2000.0
Kilimanjaro,2025-03-26,2800.0,2100.0
Kilimanjaro,2025-05-14,900.0,1300.0
Kilimanjaro,2025-06-18,2800.0,2300.0
Kilimanjaro,2025-06-25,2800.0,2300.0
Kilimanjaro,2025-08-06,2800.0,2100.0
Kilimanjaro,2025-08-13,2800.0,
Kilimanjaro,2025-08-27,2900.0,2200.0
Kilimanjaro,2025-09-03,2900.0,
Kilimanjaro,2025-09-17,3000.0,2300.0
Kilimanjaro,2025-09-24,2300.0,2200.0
Lindi,2024-08-21,2600.0,2200.0
