Region,date,crop,price_tzs_per_kg,source_pdf,source_url
Kagera,2024-12-04,Rice,2300,sw-1733682725-Mwenendo wa Bei za Mazao tarehe 02-06 Desemba 2024..pdf,https://www.kilimo.go.tz/uploads/documents/sw-1733682725-Mwenendo wa Bei za Mazao tarehe 02-06 Desemba 2024..pdf
Mara,2024-12-04,Beans,2800,sw-1733682725-Mwenendo wa Bei za Mazao tarehe 02-06 Desemba 2024..pdf,https://www.kilimo.go.tz/uploads/documents/sw-1733682725-Mwenendo wa Bei za Mazao tarehe 02-06 Desemba 2024..pdf
Mara,2024-12-04,Rice,1600,sw-1733682725-Mwenendo wa Bei za Mazao tarehe 02-06 Desemba 2024..pdf,https://www.kilimo.go.tz/uploads/documents/sw-1733682725-Mwenendo wa Bei za Mazao tarehe 02-06 Desemba 2024..pdf
Mwanza,2024-12-04,Beans,3000,sw-1733682725-Mwenendo wa Bei za Mazao tarehe 02-06 Desemba 2024..pdf,https://www.kilimo.go.tz/uploads/documents/sw-1733682725-Mwenendo wa Bei za Mazao tarehe 02-06 Desemba 2024..pdf
Mwanza,2024-12-04,Rice,2100,sw-1733682725-Mwenendo wa Bei za Mazao tarehe 02-06 Desemba 2024..pdf,https://www.kilimo.go.tz/uploads/documents/sw-1733682725-Mwenendo wa Bei za Mazao tarehe 02-06 Desemba 2024..pdf
Rukwa,2024-12-04,Beans,2900,sw-1733682725-Mwenendo wa Bei za Mazao tarehe 02-06 Desemba 2024..pdf,https://www.kilimo.go.tz/uploads/documents/sw-1733682725-Mwenendo wa Bei za Mazao tarehe 02-06 Desemba 2024..pdf
Rukwa,2024-12-04,Rice,2000,sw-1733682725-Mwenendo wa Bei za Mazao tarehe 02-06 Desemba 2024..pdf,https://www.kilimo.go.tz/uploads/documents/sw-1733682725-Mwenendo wa Bei za Mazao tarehe 02-06 Desemba 2024..pdf
Shinyanga,2024-12-04,Beans,2600,sw-1733682725-Mwenendo wa Bei za Mazao tarehe 02-06 Desemba 2024..pdf,https://www.kilimo.go.tz/uploads/documents/sw-1733682725-Mwenendo wa Bei za Mazao tarehe 02-06 Desemba 2024..pdf
Shinyanga,2024-12-04,Rice,1500,sw-1733682725-Mwenendo wa Bei za Mazao tarehe 02-06 Desemba 2024..pdf,https://www.kilimo.go.tz/uploads/documents/sw-1733682725-Mwenendo wa Bei za Mazao tarehe 02-06 Desemba 2024..pdf
Tabora,2024-12-04,Beans,2800,sw-1733682725-Mwenendo wa Bei za Mazao tarehe 02-06 Desemba 2024..pdf,https://www.kilimo.go.tz/uploads/documents/sw-1733682725-Mwenendo wa Bei za Mazao tarehe 02-06 Desemba 2024..pdf
Tabora,2024-12-04,Rice,1400,sw-1733682725-Mwenendo wa Bei za Mazao tarehe 02-06 Desemba 2024..pdf,https://www.kilimo.go.tz/uploads/documents/sw-1733682725-Mwenendo wa Bei za Mazao tarehe 02-06 Desemba 2024..pdf
Arusha,2024-12-18,Beans,2700,sw-1734724726-Mwenendo wa Bei za Mazao tarehe 16-20 Desemba 2024. (1).pdf,https://www.kilimo.go.tz/uploads/documents/sw-1734724726-Mwenendo wa Bei za Mazao tarehe 16-20 Desemba 2024. (1).pdf
Arusha,2024-12-18,Rice,3000,sw-1734724726-Mwenendo wa Bei za Mazao tarehe 16-20 Desemba 2024. (1).pdf,https://www.kilimo.go.tz/uploads/documents/sw-1734724726-Mwenendo wa Bei za Mazao tarehe 16-20 Desemba 2024. (1).pdf
Dar es Salaam,2024-12-18,Beans,3200,sw-1734724726-Mwenendo wa Bei za Mazao tarehe 16-20 Desemba 2024. (1).pdf,https://www.kilimo.go.tz/uploads/documents/sw-1734724726-Mwenendo wa Bei za Mazao tarehe 16-20 Desemba 2024. (1).pdf
Dar es Salaam,2024-12-18,Rice,2300,sw-1734724726-Mwenendo wa Bei za Mazao tarehe 16-20 Desemba 2024. (1).pdf,https://www.kilimo.go.tz/uploads/documents/sw-1734724726-Mwenendo wa Bei za Mazao tarehe 16-20 Desemba 2024. (1).pdf
Iringa,2024-12-18,Beans,2900,sw-1734724726-Mwenendo wa Bei za Mazao tarehe 16-20 Desemba 2024. (1).pdf,https://www.kilimo.go.tz/uploads/documents/sw-1734724726-Mwenendo wa Bei za Mazao tarehe 16-20 Desemba 2024. (1).pdf
Iringa,2024-12-18,Rice,2000,sw-1734724726-Mwenendo wa Bei za Mazao tarehe 16-20 Desemba 2024. (1).pdf,https://www.kilimo.go.tz/uploads/documents/sw-1734724726-Mwenendo wa Bei za Mazao tarehe 16-20 Desemba 2024. (1).pdf
